datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2023-06-01 10:49:00,97.0,NFO,15-JUN-2023,98.8,95.7,98.8,141000,Options,Call,NIFTY,18700.0,3200.0
2023-06-01 10:50:00,95.25,NFO,15-JUN-2023,97.0,95.25,97.0,143550,Options,Call,NIFTY,18700.0,3300.0
2023-06-01 10:51:00,97.0,NFO,15-JUN-2023,97.2,95.25,95.25,143550,Options,Call,NIFTY,18700.0,400.0
2023-06-01 10:52:00,97.0,NFO,15-JUN-2023,98.6,96.85,97.0,143550,Options,Call,NIFTY,18700.0,1950.0
2023-06-01 10:53:00,97.3,NFO,15-JUN-2023,97.45,97.0,97.0,143550,Options,Call,NIFTY,18700.0,1050.0
2023-06-01 10:54:00,98.4,NFO,15-JUN-2023,98.4,97.3,97.3,145050,Options,Call,NIFTY,18700.0,50.0
2023-06-01 10:55:00,97.3,NFO,15-JUN-2023,98.4,97.3,98.4,145050,Options,Call,NIFTY,18700.0,1400.0
2023-06-01 10:56:00,96.0,NFO,15-JUN-2023,97.3,96.0,97.3,145300,Options,Call,NIFTY,18700.0,1500.0
2023-06-01 10:57:00,95.5,NFO,15-JUN-2023,96.15,95.15,96.0,145300,Options,Call,NIFTY,18700.0,4100.0
2023-06-01 10:58:00,97.15,NFO,15-JUN-2023,97.15,95.5,95.5,145300,Options,Call,NIFTY,18700.0,50.0
2023-06-01 10:59:00,98.45,NFO,15-JUN-2023,98.9,97.15,97.15,145300,Options,Call,NIFTY,18700.0,2100.0
2023-06-01 11:00:00,98.75,NFO,15-JUN-2023,98.75,98.45,98.45,145300,Options,Call,NIFTY,18700.0,50.0
2023-06-01 11:01:00,98.75,NFO,15-JUN-2023,98.75,98.75,98.75,145300,Options,Call,NIFTY,18700.0,0.0
2023-06-01 11:02:00,98.6,NFO,15-JUN-2023,98.75,97.95,98.75,147850,Options,Call,NIFTY,18700.0,650.0
2023-06-01 11:03:00,96.5,NFO,15-JUN-2023,98.6,96.5,98.6,147850,Options,Call,NIFTY,18700.0,50.0
2023-06-01 11:04:00,95.7,NFO,15-JUN-2023,96.5,95.5,96.5,147850,Options,Call,NIFTY,18700.0,550.0
