,close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
162,93.9,2023-07-26 11:57:00,NFO,10-AUG-2023,93.9,93.9,93.9,34450,Options,Put,NIFTY,19650.0,500
163,93.9,2023-07-26 11:58:00,NFO,10-AUG-2023,93.9,93.9,93.9,34450,Options,Put,NIFTY,19650.0,0
164,93.9,2023-07-26 11:59:00,NFO,10-AUG-2023,93.9,93.9,93.9,34450,Options,Put,NIFTY,19650.0,0
165,93.45,2023-07-26 12:00:00,NFO,10-AUG-2023,93.45,92.1,92.1,34450,Options,Put,NIFTY,19650.0,250
166,93.45,2023-07-26 12:01:00,NFO,10-AUG-2023,93.45,93.45,93.45,34450,Options,Put,NIFTY,19650.0,0
167,91.8,2023-07-26 12:02:00,NFO,10-AUG-2023,93.45,91.8,93.45,34150,Options,Put,NIFTY,19650.0,100
168,92.5,2023-07-26 12:03:00,NFO,10-AUG-2023,92.5,91.8,91.8,34150,Options,Put,NIFTY,19650.0,250
169,92.5,2023-07-26 12:04:00,NFO,10-AUG-2023,92.5,92.5,92.5,34150,Options,Put,NIFTY,19650.0,0
170,92.5,2023-07-26 12:05:00,NFO,10-AUG-2023,92.5,92.5,92.5,34150,Options,Put,NIFTY,19650.0,0
171,91.75,2023-07-26 12:06:00,NFO,10-AUG-2023,92.5,91.75,92.5,34400,Options,Put,NIFTY,19650.0,50
172,91.75,2023-07-26 12:07:00,NFO,10-AUG-2023,91.75,91.75,91.75,34400,Options,Put,NIFTY,19650.0,0
173,91.75,2023-07-26 12:08:00,NFO,10-AUG-2023,91.75,91.75,91.75,34400,Options,Put,NIFTY,19650.0,0
174,92.5,2023-07-26 12:09:00,NFO,10-AUG-2023,92.5,91.75,91.75,34450,Options,Put,NIFTY,19650.0,300
175,92.5,2023-07-26 12:10:00,NFO,10-AUG-2023,92.5,92.5,92.5,34450,Options,Put,NIFTY,19650.0,0
176,93.75,2023-07-26 12:11:00,NFO,10-AUG-2023,93.75,92.5,92.5,34450,Options,Put,NIFTY,19650.0,100
177,93.75,2023-07-26 12:12:00,NFO,10-AUG-2023,93.75,93.75,93.75,34450,Options,Put,NIFTY,19650.0,0
178,91.85,2023-07-26 12:13:00,NFO,10-AUG-2023,93.75,91.85,93.75,34450,Options,Put,NIFTY,19650.0,150
179,92.0,2023-07-26 12:14:00,NFO,10-AUG-2023,92.0,91.85,91.85,34450,Options,Put,NIFTY,19650.0,450
180,92.0,2023-07-26 12:15:00,NFO,10-AUG-2023,92.0,92.0,92.0,34450,Options,Put,NIFTY,19650.0,0
181,92.0,2023-07-26 12:16:00,NFO,10-AUG-2023,92.0,92.0,92.0,34450,Options,Put,NIFTY,19650.0,0
182,92.0,2023-07-26 12:17:00,NFO,10-AUG-2023,92.0,92.0,92.0,34450,Options,Put,NIFTY,19650.0,0
183,91.55,2023-07-26 12:18:00,NFO,10-AUG-2023,92.0,91.55,92.0,34450,Options,Put,NIFTY,19650.0,50
184,90.2,2023-07-26 12:19:00,NFO,10-AUG-2023,91.55,90.2,91.55,34450,Options,Put,NIFTY,19650.0,300
185,91.0,2023-07-26 12:20:00,NFO,10-AUG-2023,91.0,90.2,90.2,34450,Options,Put,NIFTY,19650.0,150
186,91.0,2023-07-26 12:21:00,NFO,10-AUG-2023,91.0,91.0,91.0,34450,Options,Put,NIFTY,19650.0,0
187,91.7,2023-07-26 12:22:00,NFO,10-AUG-2023,91.7,91.0,91.0,34150,Options,Put,NIFTY,19650.0,100
188,91.7,2023-07-26 12:23:00,NFO,10-AUG-2023,91.7,91.7,91.7,34150,Options,Put,NIFTY,19650.0,0
189,91.7,2023-07-26 12:24:00,NFO,10-AUG-2023,91.7,91.7,91.7,34150,Options,Put,NIFTY,19650.0,0
190,91.7,2023-07-26 12:25:00,NFO,10-AUG-2023,91.7,91.7,91.7,34150,Options,Put,NIFTY,19650.0,0
191,91.7,2023-07-26 12:26:00,NFO,10-AUG-2023,91.7,91.7,91.7,34150,Options,Put,NIFTY,19650.0,0
192,91.7,2023-07-26 12:27:00,NFO,10-AUG-2023,91.7,91.7,91.7,34150,Options,Put,NIFTY,19650.0,0
193,91.1,2023-07-26 12:28:00,NFO,10-AUG-2023,91.7,91.1,91.7,34150,Options,Put,NIFTY,19650.0,10000
194,91.1,2023-07-26 12:29:00,NFO,10-AUG-2023,91.1,91.1,91.1,34150,Options,Put,NIFTY,19650.0,0
