,close,datetime,exchange_code,high,low,open,stock_code,volume
113,572.45,2024-04-19 11:08:00,NSE,572.5,571.9,572.5,ASAIND,40
114,572.5,2024-04-19 11:09:00,NSE,572.5,572.45,572.45,ASAIND,61
115,572.5,2024-04-19 11:10:00,NSE,572.5,572.5,572.5,ASAIND,10
116,572.1,2024-04-19 11:11:00,NSE,573.3,572.1,572.75,ASAIND,191
117,572.25,2024-04-19 11:12:00,NSE,572.8,572.1,572.1,ASAIND,176
118,573.2,2024-04-19 11:13:00,NSE,573.2,572.25,572.25,ASAIND,31
119,572.7,2024-04-19 11:14:00,NSE,572.7,572.7,572.7,ASAIND,11
120,573.15,2024-04-19 11:15:00,NSE,573.15,572.7,572.7,ASAIND,1
121,573.1,2024-04-19 11:16:00,NSE,573.15,573.1,573.15,ASAIND,1
122,573.1,2024-04-19 11:17:00,NSE,573.1,572.65,573.1,ASAIND,90
123,573.1,2024-04-19 11:18:00,NSE,573.65,573.1,573.15,ASAIND,13
124,573.1,2024-04-19 11:19:00,NSE,573.1,573.1,573.1,ASAIND,0
125,573.2,2024-04-19 11:20:00,NSE,573.7,573.1,573.1,ASAIND,93
126,573.15,2024-04-19 11:21:00,NSE,573.2,572.6,573.2,ASAIND,23
127,573.25,2024-04-19 11:22:00,NSE,573.25,573.15,573.15,ASAIND,6
128,572.9,2024-04-19 11:23:00,NSE,573.45,572.45,573.25,ASAIND,57
129,572.85,2024-04-19 11:24:00,NSE,572.9,572.85,572.9,ASAIND,8
130,573.4,2024-04-19 11:25:00,NSE,573.4,572.85,572.85,ASAIND,3
131,573.65,2024-04-19 11:26:00,NSE,573.65,572.95,573.6,ASAIND,42
132,573.65,2024-04-19 11:27:00,NSE,573.65,573.65,573.65,ASAIND,0
133,574.8,2024-04-19 11:28:00,NSE,574.8,573.65,573.65,ASAIND,451
134,574.8,2024-04-19 11:29:00,NSE,574.8,574.8,574.8,ASAIND,0
135,575.25,2024-04-19 11:30:00,NSE,575.25,574.8,574.8,ASAIND,51
136,576.35,2024-04-19 11:31:00,NSE,576.35,575.85,575.85,ASAIND,191
137,576.0,2024-04-19 11:32:00,NSE,576.35,576.0,576.35,ASAIND,191
138,575.9,2024-04-19 11:33:00,NSE,576.45,575.7,576.45,ASAIND,214
139,575.9,2024-04-19 11:34:00,NSE,575.9,575.9,575.9,ASAIND,0
140,575.0,2024-04-19 11:35:00,NSE,576.0,575.0,575.9,ASAIND,101
141,575.3,2024-04-19 11:36:00,NSE,575.3,574.95,575.0,ASAIND,517
142,575.0,2024-04-19 11:37:00,NSE,575.3,575.0,575.3,ASAIND,23
143,574.8,2024-04-19 11:38:00,NSE,575.25,574.8,575.0,ASAIND,325
144,574.6,2024-04-19 11:39:00,NSE,574.8,573.65,574.8,ASAIND,215
145,574.8,2024-04-19 11:40:00,NSE,574.8,574.6,574.6,ASAIND,107
146,574.95,2024-04-19 11:41:00,NSE,574.95,574.6,574.8,ASAIND,21
147,574.95,2024-04-19 11:42:00,NSE,574.95,574.95,574.95,ASAIND,0
148,574.3,2024-04-19 11:43:00,NSE,574.95,574.3,574.95,ASAIND,30
149,574.3,2024-04-19 11:44:00,NSE,574.3,574.3,574.3,ASAIND,5
150,574.75,2024-04-19 11:45:00,NSE,574.75,574.3,574.3,ASAIND,10
151,574.75,2024-04-19 11:46:00,NSE,574.75,574.3,574.75,ASAIND,93
152,573.95,2024-04-19 11:47:00,NSE,574.75,573.3,574.75,ASAIND,530
153,574.0,2024-04-19 11:48:00,NSE,574.3,573.95,573.95,ASAIND,1625
