close,exchange_code,high,low,open,stock_code,volume
18529.95,NSE,18536.0,18525.0,18526.05,NESIND,127
18547.95,NSE,18550.0,18532.85,18532.85,NESIND,660
18559.95,NSE,18559.95,18537.6,18537.6,NESIND,376
18550.0,NSE,18558.25,18542.45,18558.25,NESIND,187
18542.0,NSE,18550.0,18541.05,18542.4,NESIND,101
18540.1,NSE,18548.0,18540.1,18542.0,NESIND,115
18536.2,NSE,18549.6,18536.2,18548.0,NESIND,186
18539.0,NSE,18539.0,18529.35,18536.0,NESIND,178
18535.0,NSE,18539.0,18527.75,18539.0,NESIND,77
18511.95,NSE,18535.0,18511.95,18535.0,NESIND,302
18510.75,NSE,18524.55,18510.75,18510.8,NESIND,121
18514.35,NSE,18524.85,18505.0,18524.85,NESIND,281
18496.4,NSE,18513.0,18496.4,18513.0,NESIND,444
18509.0,NSE,18512.85,18500.0,18507.6,NESIND,242
18517.85,NSE,18520.0,18502.5,18509.0,NESIND,828
18520.0,NSE,18520.0,18507.0,18507.0,NESIND,169
18519.8,NSE,18519.95,18511.0,18511.0,NESIND,60
18520.15,NSE,18527.75,18514.4,18520.0,NESIND,168
18530.0,NSE,18530.0,18520.0,18526.0,NESIND,111
18537.45,NSE,18537.45,18520.2,18527.45,NESIND,176
18530.0,NSE,18540.0,18524.95,18536.25,NESIND,169
18530.0,NSE,18540.0,18527.05,18530.4,NESIND,218
18525.0,NSE,18535.0,18520.0,18530.0,NESIND,781
18508.35,NSE,18520.0,18506.8,18520.0,NESIND,259
18529.95,NSE,18530.0,18510.0,18510.0,NESIND,377
18537.0,NSE,18537.0,18521.0,18530.0,NESIND,191
18553.0,NSE,18553.0,18530.0,18537.0,NESIND,515
18565.85,NSE,18575.0,18555.0,18555.0,NESIND,944
18574.9,NSE,18574.9,18560.0,18560.3,NESIND,257
18580.0,NSE,18580.0,18566.95,18566.95,NESIND,472
18595.0,NSE,18595.0,18575.0,18576.0,NESIND,437
18614.05,NSE,18614.95,18589.5,18595.95,NESIND,746
18635.15,NSE,18642.95,18613.95,18619.95,NESIND,711
18594.65,NSE,18638.1,18594.65,18635.35,NESIND,908
18585.25,NSE,18598.9,18582.55,18594.75,NESIND,405
18617.85,NSE,18617.85,18585.1,18590.05,NESIND,423
18618.0,NSE,18619.75,18607.25,18619.75,NESIND,475
18614.95,NSE,18618.0,18601.35,18617.9,NESIND,330
18609.3,NSE,18611.55,18585.0,18601.85,NESIND,757
18600.95,NSE,18607.0,18585.5,18586.55,NESIND,296
18574.65,NSE,18600.95,18556.3,18589.8,NESIND,577
18569.0,NSE,18576.35,18558.4,18574.2,NESIND,587
18555.0,NSE,18570.35,18544.9,18570.35,NESIND,1083
18525.45,NSE,18555.0,18522.5,18555.0,NESIND,1583
18541.15,NSE,18549.8,18529.65,18545.0,NESIND,763
18534.0,NSE,18545.0,18518.95,18545.0,NESIND,633
18519.85,NSE,18549.7,18519.1,18538.0,NESIND,843
18506.25,NSE,18544.65,18472.45,18520.0,NESIND,1832
18543.7,NSE,18543.7,18515.4,18515.75,NESIND,190
18565.0,NSE,18565.0,18540.9,18543.65,NESIND,231
18583.45,NSE,18585.5,18564.95,18568.75,NESIND,399
18571.7,NSE,18599.0,18555.75,18583.45,NESIND,644
18574.35,NSE,18579.85,18559.25,18559.25,NESIND,130
18585.3,NSE,18587.9,18573.5,18574.25,NESIND,377
18594.25,NSE,18598.6,18578.25,18585.9,NESIND,583
18557.65,NSE,18596.75,18557.65,18588.0,NESIND,506
