close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
96.2,2023-11-24 11:13:00,NFO,2023-12-14,96.6,96.2,96.6,87500,Options,Put,NIFTY,19700.0,50
95.75,2023-11-24 11:14:00,NFO,2023-12-14,96.2,95.75,96.2,87500,Options,Put,NIFTY,19700.0,50
95.4,2023-11-24 11:15:00,NFO,2023-12-14,95.75,95.4,95.75,87600,Options,Put,NIFTY,19700.0,300
96.0,2023-11-24 11:16:00,NFO,2023-12-14,96.3,95.4,95.4,87600,Options,Put,NIFTY,19700.0,450
96.0,2023-11-24 11:17:00,NFO,2023-12-14,96.0,96.0,96.0,87600,Options,Put,NIFTY,19700.0,100
94.75,2023-11-24 11:18:00,NFO,2023-12-14,96.0,94.75,96.0,87600,Options,Put,NIFTY,19700.0,450
94.75,2023-11-24 11:19:00,NFO,2023-12-14,94.75,94.75,94.75,87600,Options,Put,NIFTY,19700.0,0
94.75,2023-11-24 11:20:00,NFO,2023-12-14,94.75,94.75,94.75,87600,Options,Put,NIFTY,19700.0,0
94.7,2023-11-24 11:21:00,NFO,2023-12-14,94.75,94.7,94.75,88000,Options,Put,NIFTY,19700.0,50
94.2,2023-11-24 11:22:00,NFO,2023-12-14,94.75,94.2,94.7,88000,Options,Put,NIFTY,19700.0,200
94.75,2023-11-24 11:23:00,NFO,2023-12-14,94.75,94.2,94.2,88000,Options,Put,NIFTY,19700.0,150
94.8,2023-11-24 11:24:00,NFO,2023-12-14,94.8,94.75,94.75,88100,Options,Put,NIFTY,19700.0,250
94.75,2023-11-24 11:25:00,NFO,2023-12-14,94.8,94.45,94.8,88100,Options,Put,NIFTY,19700.0,300
94.75,2023-11-24 11:26:00,NFO,2023-12-14,94.75,94.75,94.75,88100,Options,Put,NIFTY,19700.0,50
94.55,2023-11-24 11:27:00,NFO,2023-12-14,94.75,94.55,94.75,88350,Options,Put,NIFTY,19700.0,50
94.5,2023-11-24 11:28:00,NFO,2023-12-14,95.1,94.5,94.55,88350,Options,Put,NIFTY,19700.0,2000
95.0,2023-11-24 11:29:00,NFO,2023-12-14,95.0,94.3,94.5,90700,Options,Put,NIFTY,19700.0,700
94.95,2023-11-24 11:30:00,NFO,2023-12-14,95.0,94.85,95.0,90700,Options,Put,NIFTY,19700.0,900
94.95,2023-11-24 11:31:00,NFO,2023-12-14,94.95,94.95,94.95,90700,Options,Put,NIFTY,19700.0,0
94.75,2023-11-24 11:32:00,NFO,2023-12-14,94.95,94.75,94.95,91100,Options,Put,NIFTY,19700.0,450
94.05,2023-11-24 11:33:00,NFO,2023-12-14,94.75,94.05,94.75,91100,Options,Put,NIFTY,19700.0,0
94.4,2023-11-24 11:34:00,NFO,2023-12-14,94.4,94.0,94.0,91100,Options,Put,NIFTY,19700.0,350
94.4,2023-11-24 11:35:00,NFO,2023-12-14,94.4,94.4,94.4,91100,Options,Put,NIFTY,19700.0,0
94.25,2023-11-24 11:36:00,NFO,2023-12-14,94.4,94.25,94.4,91150,Options,Put,NIFTY,19700.0,50
94.25,2023-11-24 11:37:00,NFO,2023-12-14,94.25,94.25,94.25,91150,Options,Put,NIFTY,19700.0,0
94.25,2023-11-24 11:38:00,NFO,2023-12-14,94.25,94.25,94.25,91150,Options,Put,NIFTY,19700.0,0
94.75,2023-11-24 11:39:00,NFO,2023-12-14,94.75,94.25,94.25,91150,Options,Put,NIFTY,19700.0,350
94.75,2023-11-24 11:40:00,NFO,2023-12-14,94.75,94.75,94.75,91150,Options,Put,NIFTY,19700.0,0
94.6,2023-11-24 11:41:00,NFO,2023-12-14,94.6,94.6,94.6,91150,Options,Put,NIFTY,19700.0,150
92.85,2023-11-24 11:42:00,NFO,2023-12-14,94.6,92.85,94.6,91150,Options,Put,NIFTY,19700.0,200
92.85,2023-11-24 11:43:00,NFO,2023-12-14,92.85,92.85,92.85,91150,Options,Put,NIFTY,19700.0,0
94.9,2023-11-24 11:44:00,NFO,2023-12-14,94.9,92.85,92.85,91150,Options,Put,NIFTY,19700.0,100
94.25,2023-11-24 11:45:00,NFO,2023-12-14,94.9,94.25,94.9,91150,Options,Put,NIFTY,19700.0,100
94.25,2023-11-24 11:46:00,NFO,2023-12-14,94.25,94.25,94.25,91150,Options,Put,NIFTY,19700.0,0
94.85,2023-11-24 11:47:00,NFO,2023-12-14,94.85,94.25,94.25,91150,Options,Put,NIFTY,19700.0,50
94.85,2023-11-24 11:48:00,NFO,2023-12-14,94.85,94.85,94.85,91150,Options,Put,NIFTY,19700.0,0
95.05,2023-11-24 11:49:00,NFO,2023-12-14,95.25,95.05,95.25,91250,Options,Put,NIFTY,19700.0,650
95.0,2023-11-24 11:50:00,NFO,2023-12-14,95.05,95.0,95.05,91250,Options,Put,NIFTY,19700.0,200
95.0,2023-11-24 11:51:00,NFO,2023-12-14,95.0,95.0,95.0,91250,Options,Put,NIFTY,19700.0,0
95.2,2023-11-24 11:52:00,NFO,2023-12-14,95.2,95.0,95.0,91250,Options,Put,NIFTY,19700.0,50
96.25,2023-11-24 11:53:00,NFO,2023-12-14,96.25,95.2,95.2,91250,Options,Put,NIFTY,19700.0,150
95.25,2023-11-24 11:54:00,NFO,2023-12-14,95.75,95.25,95.75,91750,Options,Put,NIFTY,19700.0,250
95.25,2023-11-24 11:55:00,NFO,2023-12-14,95.25,95.0,95.25,91750,Options,Put,NIFTY,19700.0,200
